BSR402,"BCOM 354, BCOM 323, BCOM 344DPLM 0213",ENGL 211,"DIBM 0131, DIAC 0112, DIBM 0223DIBM 0219, DHRM 0254, CIBM 00111"
BSR403,"BCOM 312, BPLM 414COSC 260",ENGL 211,BCOM 221
BSR501,BPLM 312,KISW 403,BPLM 450
BSR502,,KISW 403,BPLM 112
BSR503,BPLM 211,ACSC 371,BPLM 213
BSL201,NURS 132,COSC 472,NURS 131
BSL202,"SOIL 211, BOTA 411/AGRI 421",SOCI 204/232,"HORT 111, AGRI 494, HORT 235,HORT 332, HORT 474"
BSL203,ECON 345,ACSC 121,"BCHM 231, BCHM 351"
BSL301,"HIST 361, HIST 312",KISW 302,AGRI 102
BSL302,"BIOC 220, BIOC 424,",KISW 302,"ANSC 334, AGRI 291, ANPT 351"
BSL303,"ECON 306, , ECON 303, ECON 304",CRSS 301,RELI 103
BSL401,COMM 100,ECON 341,RELI 230
BSL402,"AGED 331,",ECON 341,RELI 230
BSL403,AGED 331,"MATH 343,",BTOM 253
BSL501,LITT 212,ECON 345,GEOG 300
BSL502,LITT 212,ECON 345,GEOG 300
BSL503,"BTOM 331,",BCOM 162,
MS03,"ENSC 0100, DTHM 0142, DTHM 0281ANSC 0221, ANSC 0250, AGRI 0221HORT 0374",,"ANHE 0122, SOIL 0100, SOIL 00100AGRI 0271"
MS04,BEEM 331,"SOCI 344, SOCI 332,",BEEM 324
MS05,"NARE 351, ENSC 463, BOTA 102ENSC 359, BECO 231,",HIST 0334,"ENSC 471, WIEM 381NARE 371"
MS07,BSIS 130,SOCI 422,"TOHM 0101, DTHM 0231"
MS08,DTHM 0273,"DJMC 0114, GOVT 212",DTHM 0262
MS09,"ENSC 00100, CHTM 00401","BIOC 860(5), BIOC 815","COMS 00101, CHTM 00601"
MS10,BOTA 342,,"CDEV 0263, PPMA 243, PPMA 121"
MS17,"SOCI 891, CRSS 803,AGED 810",,"SOCI 842, CRSS 804, EAPE 807"
MS20,ECON 438,,"GPHY 333, EPHY 352"
MS21,"PHYS 887, MPHY 861, PHYS 986",,"PHYS 888, MPHY 841, MBAD 813MBAD 842, MBAD 872, PHYS 972"
MS23,COSC 225,,COSC 00105
MS24,BPLM 415,"MSCF 831, MPLM 818, MBAD 834MBAD 811, ENGL 861,  MEEM 814","BPLM 451,  ECON 342"
MS25,CDEV 0206,,
MS26,,,
MS27,,,
MS30,,,
LLB1,BLAW 311,,
LLB2,,,
LLB3,BLAW 216,,BLAW 112
PAVH,,,"BIOC 436, BIOC 240"
ROOM,8.30 AM→10.30 AM,11.30 AM→1.30PM,2.30 PM→4.30 PM,,,,,,,,
SGT1,NURS 191,COSC 231,NURS 172,,,,,,,,
S104,"NURU 126, PUHE 114",HRIM 366,"NURU 125, PUHE 121",,,,,,,,
S105,PHYS 494,HRIM 152,CHEM 427,,,,,,,,
S203,"HNDS 223, HNDS 351, HNDS 0251",HRIM 226,"HNDS 251, HNDS 362, HNDS 0233",,,,,,,,
S204,"PUHE 472,",HNDS 121,MATH 142,,,,,,,,
S207,NURS 223,PUHE 365,NURS 284,,,,,,,,
S302,PHYS 131,ZOOL 301,EENG 271,,,,,,,,
S303,PHYS 131,"COMM 362, HIST 345",PHYS 484,,,,,,,,
S304,CHEM 343,AGBM 111,"DIBM 0251,",,,,,,,,
S306,PHYS 131,BOTA 322,PSYC 125,,,,,,,,
S402,PHYS 131,BMET 341,,,,,,,,,
S403,COSC 332,"ACSC 435/ COSC 435/ COSC 432,",COSC 361,,,,,,,,
"",S404,,,ITT 213,,,BCOM 103,,,CDEV 423,
S408,BOTA 232,PUHE 235,
S502,CDEV 251,BMET 221,CDEV 252
S503,AGED 323,ZOOL 100/104,AGRI 322
S504,"AGEN 111,",ZOOL 100/104,PHIL 100
S508,"AGRI 328,",ZOOL 100/104,AGRI 322
S602,ECON 451,AGRI 211,MATH 304
L1,"BTOM 372,","COSC 0102,",ENSC 261
L2,"COSC 0262, COSC 0211, COSC 0120,",EENG 445,BIOC 332
"",COSC 00103,,
L3,BMET 451,EENG 361,BMET 452
L4,PHIL 112,EENG 475,"COSC 0274, COSC 0261, COSC 0150"
"",,,COSC 00171
FTC 301,"BCOM 332,",SOCI 251/221,
FTC 302,CRSS 320,SOCI 251/221,CRSS 300
FTC 303,,SOCI 251/221,BCOM 337
